"id";"name";"desc";"types";"created_time";"status";"owener_id";"paper_id"
2;"住院期间，护士对您是否尊重？";"";1;"2020-10-26 05:45:48.909842";1;1;1
3;"住院期间，护士是否仔细倾听您讲话？";"";1;"2020-10-26 05:46:07.283325";1;1;1
4;"住院期间，护士是否用您听得懂的方式解释问题？";"";1;"2020-10-26 05:46:23.560907";1;1;1
5;"在您按过床头呼叫铃之后，是否及时得到帮助？";"";1;"2020-10-26 05:46:37.480737";1;1;1
6;"住院期间，医生对您是否尊重？";"";1;"2020-10-26 05:46:52.601478";1;1;1
7;"住院期间，医生是否用您听得懂的方式解释问题？";"";1;"2020-10-26 05:47:10.341455";1;1;1
8;"您的病房和卫生间是否清洁无异味?";"";1;"2020-10-26 05:47:27.486657";1;1;1
9;"晚上您的病房附近是否安静？";"";1;"2020-10-26 05:47:41.952415";1;1;1
10;"医院内的路标和指示是否明确？";"";1;"2020-10-26 05:47:54.954211";1;1;1
11;"在您需要使用厕所或床上便盆时，通常是谁提供帮助?";"";1;"2020-10-26 05:48:07.508567";1;1;1
12;"当您出现疼痛难忍的情况，医务人员是否尽力帮助您缓解？";"";1;"2020-10-26 05:48:19.661897";1;1;1
13;"每次用药时（包括口服和注射），医务人员是否告诉了此药的名称？";"";1;"2020-10-26 05:48:37.648190";1;1;1
14;"首次用药时（包括口服和注射），医务人员是否告诉了此药的功能？";"";1;"2020-10-26 05:48:53.487244";1;1;1
15;"首次用药时（包括口服和注射），医务人员是否告诉了此药的副作用？";"";1;"2020-10-26 05:49:16.507302";1;1;1
16;"您对医院提供的饭菜是否满意？";"";1;"2020-10-26 05:49:30.333277";1;1;1
17;"医务人员对待探视亲友，是否尊重？";"";1;"2020-10-26 05:49:46.169204";1;1;1
18;"办理入院手续是否复杂？（如果自己不了解，可由家属代为回答）";"";1;"2020-10-26 05:50:10.432241";1;1;1
19;"办理出院手续是否复杂？（如果自己不了解，可由家属代为回答）";"";1;"2020-10-26 05:50:22.227292";1;1;1
20;"出院时，是否有医务人员告诉您出院后的注意事项？";"";1;"2020-10-26 05:50:42.806599";1;1;1
21;"出院时，您是否清楚之后的健康注意事项？";"";1;"2020-10-26 05:51:01.694907";1;1;1
22;"出院时，费用清单的条目和字迹是否清楚？（如果自己不了解，可由家属代为回答）";"";1;"2020-10-26 05:51:12.937133";1;1;1
23;"下面哪一个数字最能代表您对此医院的整体评价？（1代表最差，10代表最好）";"";3;"2020-10-26 05:51:25.529190";1;1;1
24;"您是否会向亲友推荐这家医院？";"";1;"2020-10-26 05:51:41.934773";1;1;1
